2017-12-18 10:49:33,309 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-18 10:49:33,324 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-18 10:49:33,520 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-18 10:49:33,552 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-18 10:56:07,929 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-18 10:56:07,944 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-18 10:56:08,129 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-18 10:56:08,148 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-18 10:56:30,010 | [9] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 10:56:30,016 | [9] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 10:56:30,116 | [9] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 10:56:30,132 | [9] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 10:56:30,149 | [9] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 10:56:30,168 | [9] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
2017-12-18 10:56:30,184 | [9] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 10:56:30,200 | [9] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 10:56:30,218 | [9] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 10:56:30,234 | [9] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 0, Size: -1
2017-12-18 10:56:30,246 | [9] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 10:56:30,327 | [9] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 10:56:30,349 | [9] | DefaultLogger | DEBUG - Connection closed...
2017-12-18 10:57:56,467 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-18 10:57:56,498 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-18 10:57:56,779 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-18 10:57:56,795 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-18 11:00:29,890 | [11] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 11:00:29,905 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 11:00:29,936 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 11:00:29,952 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 11:00:29,952 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 11:00:29,968 | [11] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
2017-12-18 11:00:29,968 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 11:00:29,983 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 11:00:29,999 | [11] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 11:00:29,999 | [11] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 0, Size: -1
2017-12-18 11:00:30,014 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 11:00:30,046 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 11:00:30,061 | [11] | DefaultLogger | DEBUG - Connection closed...
2017-12-18 11:00:31,358 | [11] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 11:00:31,374 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 11:00:31,390 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 11:00:31,405 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 11:00:31,421 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 11:00:31,437 | [11] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
