2017-12-27 10:27:02,600 | [93] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-27 10:27:02,624 | [93] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-27 10:27:02,925 | [93] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-27 10:27:02,938 | [93] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-27 10:27:02,946 | [93] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-27 10:27:02,955 | [93] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-27 10:27:02,967 | [93] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-27 10:27:02,980 | [93] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-27 10:27:03,006 | [93] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-27 10:27:03,010 | [93] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-27 10:27:03,014 | [93] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-27 10:27:03,018 | [93] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-27 10:27:03,051 | [93] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-27 10:27:03,056 | [93] | DefaultLogger | DEBUG - Connection closed...
2017-12-27 10:31:01,523 | [98] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-27 10:31:01,536 | [98] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-27 10:31:01,544 | [98] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-27 10:31:01,557 | [98] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-27 10:31:01,569 | [98] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-27 10:31:01,573 | [98] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-27 10:31:01,578 | [98] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-27 10:31:01,583 | [98] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-27 10:31:01,588 | [98] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-27 10:31:01,596 | [98] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-27 10:31:01,604 | [98] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-27 10:31:01,611 | [98] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-27 10:31:01,703 | [98] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-27 10:31:01,710 | [98] | DefaultLogger | DEBUG - Connection closed...
2017-12-27 10:45:17,000 | [104] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-27 10:45:17,012 | [104] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-27 10:45:17,282 | [104] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-27 10:45:17,301 | [104] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-27 10:45:17,317 | [104] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-27 10:45:17,334 | [104] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-27 10:45:17,345 | [104] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-27 10:45:17,353 | [104] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-27 10:45:17,359 | [104] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-27 10:45:17,366 | [104] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: mli, Size: -1
2017-12-27 10:45:17,457 | [104] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
